!EXCLAMATION-POINT	ˌɛkskləmˈeɪʃənpˌɔɪnt
#HASH-MARK	hˈæmˌɑːrk
#POUND-SIGN	pˈaʊndsˌaɪn
#SHARP-SIGN	ʃˈɑːrpsˌaɪn
%PERCENT	pɝsˈɛnt
&AMPERSAND	ˈæmpɝsˌænd
ABLATION	ˌəblˈeɪʃən
ABLAZE	əblˈeɪz
ABLE	ˈeɪbəl
ABLE-BODIED	ˈeɪbəlbˈɑːdiːd
ABLED	ˈeɪbəld
ABLER	ˈeɪbəlɝ
ABLER(1)	ˈeɪblɝ
ABLES	ˈeɪbəlz
ABLEST	ˈeɪbəlst
ABLEST(1)	ˈeɪbləst
ABLOOM	əblˈuːm
ABLUTION	əblˈuːʃən
ABLUTIONS	əblˈuːʃənz
ABLY	ˈeɪbli
ABNEGATION	ˌæbnɛgˈeɪʃən
ABNER	ˈæbnɝ
ABNEY	ˈæbni
ABNORMAL	æbnˈɔrməl
ABNORMALITIES	ˌæbnɔrmˈælətiːz
ABNORMALITY	ˌæbnɔrmˈæləti
ABNORMALLY	æbnˈɔrməli
ABO	ˈɑːboʊ
ABO'S	ˈɑːboʊz
ABOARD	əbˈɔrd
ABODE	əbˈoʊd
ABOHALIMA	æbəhəlˈiːmə
ABOLISH	əbˈɑːlɪʃ
ABOLISHED	əbˈɑːlɪʃt
ABOLISHES	əbˈɑːlɪʃɪz
ABOLISHING	əbˈɑːlɪʃɪŋ
ABOLITION	ˌæbəlˈɪʃən
ABOLITIONISM	ˌæbəlˈɪʃənˌɪzəm
ABOLITIONIST	ˌæbəlˈɪʃənəst
ABOLITIONISTS	ˌæbəlˈɪʃənəsts
ABOLITIONISTS(1)	ˌæbəlˈɪʃənəs
ABOMINABLE	əbˈɑːmənəbəl
ABOMINATION	əbˌɑːmənˈeɪʃən
ABOMINATIONS	əbˌɑːmənˈeɪʃənz
ABOOD	əbˈuːd
ABOODI	əbˈuːdi
ABOR	əbˈɔr
ABORIGINAL	ˌæbɝˈɪdʒənəl
ABORIGINE	ˌæbɝˈɪdʒəni
ABORIGINES	ˌæbɝˈɪdʒəniːz
ABORN	əbˈɔrn
ABORT	əbˈɔrt
ABORTED	əbˈɔrtɪd
ABORTIFACIENT	əbˌɔrtəfˈeɪʃənt
ABORTIFACIENTS	əbˌɔrtəfˈeɪʃənts
ABORTING	əbˈɔrtɪŋ
ABORTION	əbˈɔrʃən
ABORTIONIST	əbˈɔrʃənɪst
ABORTIONISTS	əbˈɔrʃənɪsts
ABORTIONISTS(1)	əbˈɔrʃənɪs
ABORTIONS	əbˈɔrʃənz
ABORTIVE	əbˈɔrtɪv
ABORTS	əbˈɔrts
ABOTT	əbˈɑːt
ABOU	əbˈuː
ABOUD	ɑːbˈuːd
ABOUHALIMA	ˌɑːbuːhɑːlˈiːmə
ABOUHALIMA'S	ˌɑːbuːhɑːlˈiːməz
ABOUND	əbˈaʊnd
ABOUNDED	əbˈaʊndɪd
ABOUNDING	əbˈaʊndɪŋ
ABOUNDS	əbˈaʊndz
ABOUT	əbˈaʊt
ABOUT'S	əbˈaʊts
ABOVE	əbˈʌv
ABOVE'S	əbˈʌvz
ABOVEBOARD	əbˈʌvbˌɔrd
ABPLANALP	ˈæbplənælp
ABRA	ˈɑːbrə
ABRACADABRA	ˌæbrəkədˈæbrə
ABRADE	æbrˈeɪd
ABRADED	æbrˈeɪdɪd
ABRADES	æbrˈeɪdz
ABRAHAM	ˈeɪbrəhˌæm
ABRAHAMIAN	ˌæbrəhˈeɪmiːən
ABRAHAMS	ˈeɪbrəhˌæmz
ABRAHAMSEN	æbrəhˈæmsən
ABRAHAMSON	əbrˈæhəmsən
ABRAM	əbrˈæm
ABRAM'S	ˈeɪbrəmz
ABRAMCZYK	ˈɑːbrəmtʃɪk
ABRAMO	ɑːbrˈɑːmoʊ
ABRAMOVITZ	əbrˈɑːməvɪts
ABRAMOWICZ	əbrˈɑːməvɪtʃ
ABRAMOWITZ	əbrˈɑːməwɪts
ABRAMS	ˈeɪbrəmz
ABRAMS'S	ˈeɪbrəmzɪz
ABRAMSON	ˈeɪbrəmsən
ABRASION	əbrˈeɪʒən
ABRASIONS	əbrˈeɪʒənz
ABRASIVE	əbrˈeɪsɪv
ABRASIVES	əbrˈeɪsɪvz
ABRAXA	əbrˈæksə
ABRAXA'S	əbrˈæksəz
ABRAXAS	əbrˈæksəz
ABREAST	əbrˈɛst
ABREGO	ɑːbrˈɛgoʊ
ABREU	əbrˈuː
ABRIDGE	əbrˈɪdʒ
ABRIDGED	əbrˈɪdʒd
ABRIDGEMENT	əbrˈɪdʒmənt
ABRIDGES	əbrˈɪdʒəz
ABRIDGING	əbrˈɪdʒɪŋ
ABRIL	əbrˈɪl
ABROAD	əbrˈɔd
ABROGATE	ˈæbrəgˌeɪt
ABROGATED	ˈæbrəgˌeɪtɪd
ABROGATING	ˈæbrəgˌeɪtɪŋ
ABROGATION	ˌæbrəgˈeɪʃən
ABROL	əbrˈoʊl
ABRON	əbrˈɑːn
ABRUPT	əbrˈʌpt
ABRUPTLY	əbrˈʌptli
ABRUPTNESS	əbrˈʌptnəs
ABRUTYN	ˈeɪbruːtɪn
ABRUZZESE	ɑːbruːtsˈeɪzi
ABRUZZO	ɑːbrˈuːzoʊ
ABS	ˈeɪbˈiːˈɛs
ABS(1)	ˈæbz
ABSALOM	ˈæbsələm
ABSARAKA	æbsˈɑːrəkə
ABSCAM	ˈæbskæm
ABSCESS	ˈæbsˌɛs
ABSCOND	æbskˈɑːnd
ABSCONDED	æbskˈɑːndɪd
ABSCONDING	æbskˈɑːndɪŋ
ABSCONDS	æbskˈɑːndz
ABSECON	ˈæbsəkɔn
ABSENCE	ˈæbsəns
ABSENCES	ˈæbsənsɪz
ABSENT	ˈæbsənt
ABSENTEE	ˌæbsəntˈiː
ABSENTEEISM	ˌæbsəntˈiːɪzəm
ABSENTEES	ˌæbsəntˈiːz
ABSENTIA	æbsˈɛnʃə
ABSHER	ˈæbʃɝ
ABSHIER	ˈæbʃiːɝ
ABSHIRE	ˈæbʃˌaɪr
ABSINTHE	ˈæbsɪnθ
ABSO	ˈæbsoʊ
ABSOLOM	ˈæbsələm
ABSOLUT	ˌæbsəlˈuːt
ABSOLUT'S	ˌæbsəlˈuːts
ABSOLUTE	ˈæbsəlˌuːt
ABSOLUTELY	ˌæbsəlˈuːtli
ABSOLUTENESS	ˈæbsəlˌuːtnəs
ABSOLUTES	ˈæbsəlˌuːts
ABSOLUTION	ˌæbsəlˈuːʃən
ABSOLUTISM	ˈæbsəlˌuːtˌɪzəm
ABSOLUTIST	æbsəlˈuːtɪst
ABSOLVE	əbzˈɑːlv
ABSOLVE(1)	æbzˈɑːlv
ABSOLVED	əbzˈɑːlvd
ABSOLVED(1)	æbzˈɑːlvd
ABSOLVES	əbzˈɑːlvz
ABSOLVES(1)	æbzˈɑːlvz
ABSOLVING	əbzˈɑːlvɪŋ
ABSOLVING(1)	æbzˈɑːlvɪŋ
ABSORB	əbzˈɔrb
ABSORBED	əbzˈɔrbd
ABSORBENCY	əbzˈɔrbənsi
ABSORBENT	əbzˈɔrbənt
ABSORBER	əbzˈɔrbɝ
ABSORBERS	əbzˈɔrbɝz
ABSORBING	əbzˈɔrbɪŋ
ABSORBS	əbzˈɔrbz
ABSORPTION	əbzˈɔrpʃən
ABSORPTION(1)	əbsˈɔrpʃən
ABSTAIN	əbstˈeɪn
ABSTAIN(1)	æbstˈeɪn
ABSTAINED	əbstˈeɪnd
ABSTAINED(1)	æbstˈeɪnd
ABSTAINING	əbstˈeɪnɪŋ
ABSTAINING(1)	æbstˈeɪnɪŋ
ABSTENTION	əbstˈɛntʃən
ABSTENTION(1)	æbstˈɛntʃən
ABSTENTIONS	əbstˈɛntʃənz
ABSTENTIONS(1)	æbstˈɛntʃənz
ABSTINENCE	ˈæbstənəns
ABSTINENT	ˈæbstənənt
ABSTON	ˈæbstən
ABSTRACT	æbstrˈækt
ABSTRACT(1)	ˈæbstrˌækt
ABSTRACTED	ˈæbstrˌæktɪd
ABSTRACTION	æbstrˈækʃən
ABSTRACTIONS	æbstrˈækʃənz
ABSTRACTS	ˈæbstrækts
ABSTRUSE	əbstrˈuːs
ABSURD	əbsˈɝːd
ABSURDIST	əbsˈɝːdɪst
ABSURDITIES	əbsˈɝːdətiːz
ABSURDITY	əbsˈɝːdəti
ABSURDLY	əbsˈɝːdli
ABT	ˈæbt
ABT(1)	ˈeɪbˈiːtˈiː
ABTS	ˈæbts
ABTS(1)	ˈeɪbˈiːtˈiːz
ABTS(2)	ˈeɪbˈiːtˈiːˈɛs
ABU	ˈæbuː
ABUDRAHM	əbˈʌdrəm
ABUELLAH	əbwˈɛlə
ABUELLAH'S	əbwˈɛləz
ABULADZE	ˌæbjuːlˈædzi
ABUNDANCE	əbˈʌndəns
ABUNDANT	əbˈʌndənt
ABUNDANTLY	əbˈʌndəntli
ABURTO	əbˈʊrtˌoʊ
ABURTO'S	əbˈʊrtˌoʊz
ABUSE	əbjˈuːs
ABUSE(1)	əbjˈuːz
ABUSED	əbjˈuːzd
ABUSER	əbjˈuːzɝ
ABUSERS	əbjˈuːzɝz
ABUSES	əbjˈuːsɪz
ABUSES(1)	əbjˈuːzɪz
ABUSING	əbjˈuːzɪŋ
ABUSIVE	əbjˈuːsɪv
ABUT	əbˈʌt
ABUTS	əbˈʌts
ABUTTED	əbˈʌtɪd
ABUTTING	əbˈʌtɪŋ
ABUZZ	əbˈʌz
ABYSMAL	əbˈɪzməl
ABYSMALLY	əbˈɪzməli
ABYSS	əbˈɪs
ABYSSINIA	æbsˈɪnˌiːə
ABYSSINIAN	æbsˈɪnˌiːən
ABZUG	ˈæbzˌəg
ABZUG(1)	ˈæbzˌʊg
AC	ˈeɪsˈiː
ACA	ˈækə
ACACIA	əkˈeɪʃə
ACADEME	ˈækədˌiːm
ACADEMIA	ˌækədˈiːmiːə
ACADEMIC	ˌækədˈɛmɪk
ACADEMICALLY	ˌækədˈɛmɪkli
ACADEMICIAN	ˌækədəmˈɪʃən
ACADEMICIANS	ˌækədəmˈɪʃənz
ACADEMICIANS(1)	əkˌædəmˈɪʃənz
ACADEMICS	ˌækədˈɛmɪks
ACADEMIES	əkˈædəmiːz
ACADEMY	əkˈædəmi
ACADEMY'S	əkˈædəmiːz
ACADIA	əkˈeɪdiːə
ACAMPO	əkˈɑːmpoʊ
ACAMPORA	əkˈæmpɝə
ACAMPSIA	əkˈæmpsjə
ACANTHA	ɑːkˈɑːnðə
ACAPULCO	ˌækəpˈʊlkoʊ
ACARY	ˈækɝi
ACC	ˌaɪsˌiːsˈiː
ACCARDI	ɑːkˈɑːrdi
ACCARDO	ɑːkˈɑːrdoʊ
ACCEDE	æksˈiːd
ACCEDED	æksˈiːdɪd
ACCEDES	æksˈiːdz
ACCEDING	æksˈiːdɪŋ
ACCEL	əksˈɛl
ACCELERANT	æksˈɛlɝənt
ACCELERANTS	æksˈɛlɝənts
ACCELERATE	æksˈɛlɝˌeɪt
ACCELERATED	æksˈɛlɝˌeɪtɪd
ACCELERATES	æksˈɛlɝˌeɪts
ACCELERATING	æksˈɛlɝˌeɪtɪŋ
ACCELERATION	ˌæksˌɛlɝˈeɪʃən
ACCELERATOR	æksˈɛlɝˌeɪtɝ
ACCELERATORS	æksˈɛlɝˌeɪtɝz
ACCELEROMETER	æksˌɛlɝˈɑːmətɝ
ACCELEROMETERS	æksˌɛlɝˈɑːmətɝz
ACCENT	əksˈɛnt
ACCENT(1)	ˈæksˌɛnt
ACCENTED	ˈæksɛntɪd
ACCENTING	ˈæksɛntɪŋ
ACCENTS	ˈæksɛnts
ACCENTUATE	æksˈɛntʃuːeɪt
ACCENTUATED	æksˈɛntʃuːˌeɪtɪd
ACCENTUATES	æksˈɛntʃuːˌeɪts
ACCENTUATING	æksˈɛntʃuːˌeɪtɪŋ
ACCEPT	æksˈɛpt
ACCEPT(1)	əksˈɛpt
ACCEPTABILITY	əksˌɛptəbˈɪləti
ACCEPTABLE	æksˈɛptəbəl
ACCEPTABLE(1)	əksˈɛptəbəl
ACCEPTABLY	æksˈɛptəbli
ACCEPTABLY(1)	əksˈɛptəbli
ACCEPTANCE	æksˈɛptəns
ACCEPTANCE(1)	əksˈɛptəns
ACCEPTANCES	æksˈɛptənsɪz
ACCEPTED	æksˈɛptɪd
ACCEPTING	æksˈɛptɪŋ
ACCEPTING(1)	əksˈɛptɪŋ
ACCEPTS	æksˈɛpts
ACCESS	ˈæksˌɛs
ACCESSED	ˈæksˌɛst
ACCESSIBILITY	ˌæksɛsəbˈɪlɪti
ACCESSIBLE	æksˈɛsəbəl
ACCESSING	ˈæksˌɛsɪŋ
ACCESSION	əksˈɛʃən
ACCESSORIES	æksˈɛsɝiːz
ACCESSORIZE	æksˈɛsɝˌaɪz
ACCESSORIZED	æksˈɛsɝˌaɪzd
ACCESSORY	æksˈɛsɝi
ACCETTA	ɑːtʃˈɛtə
ACCIDENT	ˈæksədənt
ACCIDENT'S	ˈæksədənts
ACCIDENTAL	ˌæksədˈɛntəl
ACCIDENTAL(1)	ˌæksədˈɛnəl
ACCIDENTALLY	ˌæksədˈɛntəli
ACCIDENTALLY(1)	ˌæksədˈɛnəli
ACCIDENTLY	ˈæksədəntli
ACCIDENTS	ˈæksədənts
ACCION	ˈætʃiːən
ACCIVAL	ˈæsɪvˌɑːl
ACCLAIM	əklˈeɪm
ACCLAIM'S	əklˈeɪmz
ACCLAIMED	əklˈeɪmd
ACCLAIMING	əklˈeɪmɪŋ
ACCLAIMS	əklˈeɪmz
ACCLAMATION	ˌækləmˈeɪʃən
ACCLIMATE	ˈækləmˌeɪt
ACCLIMATED	ˈækləmˌeɪtɪd
ACCLIMATION	ˌækləmˈeɪʃən
ACCO	ˈækoʊ
ACCOKEEK	ˈækoʊkiːk
ACCOLA	ɑːkˈoʊlə
ACCOLADE	ˈækəlˌeɪd
ACCOLADES	ˈækəlˌeɪdz
ACCOMANDO	ɑːkoʊmˈɑːndoʊ
ACCOMMODATE	əkˈɑːmədˌeɪt
ACCOMMODATED	əkˈɑːmədˌeɪtɪd
ACCOMMODATES	əkˈɑːmədˌeɪts
ACCOMMODATING	əkˈɑːmədˌeɪtɪŋ
ACCOMMODATION	əkˌɑːmədˈeɪʃən
ACCOMMODATIONS	əkˌɑːmədˈeɪʃənz
ACCOMMODATIVE	əkˈɑːmədˌeɪtɪv
ACCOMPANIED	əkˈʌmpəniːd
ACCOMPANIES	əkˈʌmpəniːz
ACCOMPANIMENT	əkˈʌmpnɪmənt
ACCOMPANIMENT(1)	əkˈʌmpniːmənt
ACCOMPANIMENTS	əkˈʌmpnɪmənts
ACCOMPANIMENTS(1)	əkˈʌmpniːmənts
ACCOMPANIST	əkˈʌmpənəst
ACCOMPANY	əkˈʌmpəni
ACCOMPANYING	əkˈʌmpəniːɪŋ
ACCOMPLI	ˌɑːkˈɑːmpli
ACCOMPLI(1)	əkˈɑːmpli
ACCOMPLICE	əkˈɑːmpləs
ACCOMPLICES	əkˈɑːmpləsəz
ACCOMPLISH	əkˈɑːmplɪʃ
ACCOMPLISHED	əkˈɑːmplɪʃt
ACCOMPLISHES	əkˈɑːmplɪʃɪz
ACCOMPLISHING	əkˈɑːmplɪʃɪŋ
ACCOMPLISHMENT	əkˈɑːmplɪʃmənt
ACCOMPLISHMENTS	əkˈɑːmplɪʃmənts
ACCOR	ˈækˌɔr
ACCOR'S	ˈækɝz
ACCORD	əkˈɔrd
ACCORD'S	əkˈɔrdz
ACCORDANCE	əkˈɔrdəns
ACCORDED	əkˈɔrdɪd
ACCORDING	əkˈɔrdɪŋ
ACCORDINGLY	əkˈɔrdɪŋli
ACCORDION	əkˈɔrdiːən
ACCORDIONS	əkˈɔrdiːənz
ACCORDS	əkˈɔrdz
ACCOST	əkˈɔst
ACCOSTED	əkˈɑːstɪd
ACCOSTING	əkˈɑːstɪŋ
ACCOUNT	əkˈaʊnt
ACCOUNT'S	əkˈaʊnts
ACCOUNTABILITY	əkˈaʊntəbˌɪlɪti
ACCOUNTABLE	əkˈaʊntəbəl
ACCOUNTANCY	əkˈaʊntəntsˌiː
ACCOUNTANT	əkˈaʊntənt
ACCOUNTANT'S	əkˈaʊntənts
ACCOUNTANTS	əkˈaʊntənts
ACCOUNTANTS'	əkˈaʊntənts
ACCOUNTED	əkˈaʊntɪd
ACCOUNTEMP	əkˈaʊntˌɛmp
ACCOUNTEMPS	əkˈaʊntˌɛmps
ACCOUNTING	əkˈaʊntɪŋ
ACCOUNTING(1)	əkˈaʊnɪŋ
ACCOUNTS	əkˈaʊnts
ACCOUTERMENT	əkˈuːtɝmənt
ACCOUTERMENTS	əkˈuːtɝmənts
ACCOUTREMENT	əkˈuːtɝmənt
